Price,Bedrooms,Is_premium_subarea,Is_estate,Price_log,Group_median,Group_std,Price_zscore_in_group,Locality_encoded,Area_encoded,Property_type_encoded
660000,1,0,0,13.399996629152975,350000.0,197881.37662672115,1.5665951252440335,13.62347496440506,13.75503204010579,13.168683895711117
400000,2,0,0,12.899222326086994,500000.0,246132.39769290932,-0.40628540142353164,13.428555700618887,13.74365033424736,13.961348273931726
1500000,3,1,0,14.220976332738882,1000000.0,471780.70203466876,1.0598144388772763,13.97231337965349,13.75503204010579,13.959739575628085
1200000,3,0,0,13.997832948091215,1000000.0,395058.6778605653,0.506253909123316,14.00180902898726,13.761359647409968,13.961012994652792
180000,1,0,0,12.100717685412471,160000.0,46262.26722093344,0.43231776567470304,12.967918377321851,13.73828354933841,13.121227134887489
600000,3,0,0,13.304686600863562,700000.0,336766.48457767285,-0.296941663079705,13.746275127888024,13.74365033424736,13.961348273931726
900000,2,0,0,13.710151153416941,725000.0,366236.1254336464,0.4778338013290991,13.705930037384318,13.75503204010579,13.959739575628085
5000000,3,1,0,15.424948670398354,3000000.0,1192386.2403753907,1.677308855367497,14.721093724316244,13.761359647409968,14.951043360172223
3500000,4,1,0,15.068273812173887,3500000.0,4441466.645353092,0.0,14.679917924853939,14.84108294785864,14.952969449335288
1000000,2,0,0,13.815511557963774,775000.0,160228.0628912014,1.4042483940705208,14.00180902898726,13.761359647409968,13.961012994652792
2500000,3,0,0,14.731801689838349,2000000.0,1404009.206178628,0.3561230209885009,14.681970503791204,14.830809391644584,13.961012994652792
3500000,4,1,0,15.068273812173887,2500000.0,962899.7352352653,1.0385297278700258,14.000371501401402,13.74365033424736,14.943664804017871
3000000,6,0,1,14.914123179965662,3000000.0,694982.0141557622,0.0,13.969481809395797,13.75503204010579,14.952969449335288
500000,3,0,0,13.122365377402328,950000.0,595690.8266673322,-0.755425431876435,13.727347327307898,13.761359647409968,13.961012994652792
8000000,5,1,0,15.894952224644102,5000000.0,15715303.809011258,0.19089672312155875,14.679917924853939,14.84108294785864,14.952969449335288
3000000,4,0,1,14.914123179965662,3500000.0,1350794.5131020376,-0.3701525251622269,14.61811118979766,13.73828354933841,14.920318282492198
1800000,3,1,0,14.403297778421795,2000000.0,1404009.206178628,-0.14244920839540037,14.681970503791204,14.830809391644584,13.961012994652792
3500000,6,0,0,15.068273812173887,3000000.0,694982.0141557622,0.7194430788361927,13.969481809395797,13.75503204010579,14.952969449335288
600000,2,0,0,13.304686600863562,450000.0,135092.56086106296,1.110349815296408,13.360932064273252,13.74365033424736,13.961348273931726
1200000,3,0,0,13.997832948091215,2000000.0,1404009.206178628,-0.5697968335816015,14.679917924853939,14.84108294785864,13.959739575628085
1700000,3,0,0,14.346139397261565,2000000.0,1404009.206178628,-0.21367381259310053,14.681970503791204,14.830809391644584,13.961012994652792
1200000,2,1,0,13.997832948091215,650000.0,284013.1899463334,1.9365297791413383,13.97231337965349,13.75503204010579,13.959739575628085
1190000,1,0,0,13.989464705423494,1100000.0,655271.5531639188,0.13734763788454302,14.679917924853939,14.84108294785864,13.168683895711117
580000,1,0,0,13.270785106659046,1100000.0,655271.5531639188,-0.7935641299995819,14.667835947994133,14.859081171067611,13.143299938788093
4500000,3,1,0,15.319588176962746,4500000.0,6915655.485204466,0.0,15.390558468611337,14.840092247661994,13.942958244723336
450000,1,1,1,13.017005083966255,400000.0,133088.8563259934,0.37568885465157137,13.922602160931245,13.75053356952986,13.141945411452566
1800000,4,1,1,14.403297778421795,3500000.0,4441466.645353092,-0.38275644865612896,14.667835947994133,14.859081171067611,14.943664804017871
4500000,4,1,0,15.319588176962746,3500000.0,1287490.062882392,0.7767050238517815,14.681970503791204,14.830809391644584,13.961012994652792
3000000,3,1,0,14.914123179965662,2000000.0,1404009.206178628,0.7122460419770018,14.681970503791204,14.830809391644584,13.961012994652792
1300000,3,1,0,14.077875591662238,1200000.0,390219.34737220797,0.25626612486903605,13.907422823078539,13.73828354933841,13.924388598525375
1000000,3,0,1,13.815511557963774,900000.0,232605.93417828914,0.4299116458626177,13.776270202133588,13.73828354933841,13.924388598525375
2500000,5,0,0,14.731801689838349,4500000.0,2475331.4711372973,-0.8079725981430257,14.683883851661726,13.74365033424736,14.943664804017871
1500000,3,0,0,14.220976332738882,900000.0,232605.93417828914,2.579469875175706,13.80267081802792,13.75503204010579,13.959739575628085
500000,1,0,0,13.122365377402328,575000.0,530159.2596378094,-0.14146692458269614,14.520372698854334,13.761359647409968,13.165972544764426
1800000,3,1,0,14.403297778421795,2600000.0,954800.4463444415,-0.8378714139304061,14.679917924853939,14.84108294785864,14.952969449335288
320000,1,0,0,12.676079399771027,350000.0,197881.37662672115,-0.15160597986232582,13.632339391313863,13.73828354933841,13.121227134887489
5500000,5,1,0,15.520258832020865,3000000.0,1088404.6746175739,2.296939785634796,14.012011549760725,13.75053356952986,14.948043428904779
600000,2,0,0,13.304686600863562,500000.0,246132.39769290932,0.40628540142353164,13.35631088476631,13.75503204010579,13.959739575628085
500000,2,0,0,13.122365377402328,700000.0,388728.5267957169,-0.5144978724576682,13.632339391313863,13.73828354933841,13.924388598525375
